"Data Source","World Development Indicators",

"Last Updated Date","2021-12-16",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Bangladesh","BGD","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","87692342796.5208","93817522685.3109","101178098203.325","108456426994.827","115081618885.562","123511999678.265","131462096909.681","139820916424.046","148714667316.249","157907297582.569","169982625545.874","182530878334.241","192525389218.375","205395097099.782","221976241488.929","243850841826.997","267992112040.627","294615766788.069","318408634408.939","337022600321.165","359946756348.42","391220073587.411","443598789939.633","480218563286.77","520423230999.264","555570050290.634","608047366029.664","664403662063.264","733857377477.863","807854957463.322","845966482712.052",
"Bulgaria","BGR","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","65673974854.2982","62160945613.8703","58953932592.3342","59458011546.4717","61831728261.7552","64930622793.5301","57134779099.1783","47781252464.5517","51005656931.9875","47685776727.4185","52491359569.9721","55759428501.7272","61023403660.0348","65377717601.2734","70947507152.5924","78821953319.0012","86597505830.0945","96548947213.7896","107410874634.607","105648345166.892","110696849508.351","115714379325.304","119290235390.383","120942518538.392","127263679920.453","132016480078.136","143085935211.146","151920151543.866","161276585364.445","172350563699.313","170715108748.229",
"Bahrain","BHR","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13319945106.7787","15316808955.1044","16713911428.5497","19312157342.6673","19675242051.7473","20877261671.9303","22133285099.0104","23225888942.0756","24612343435.0628","26041308042.2956","28034516575.2414","29363075270.7015","30826319472.1303","33375800391.1598","36667026445.9921","40368485984.997","44279752026.7835","49240429590.8121","53333105095.2994","55104616844.5009","58162953475.7136","60555691596.7436","65875368137.9427","67716644746.8625","68275971746.1039","62523275420.368","63831285346.3079","71282082008.2729","74553205529.5227","77509057578.9628","74426494315.2047",
"Bahamas, The","BHS","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5504544171.40977","5452722123.71645","5363632647.43091","5507669888.42666","5802417359.76476","6183489431.39909","6562650477.60831","7139301072.8161","6894511207.50107","7847155468.10203","8355452100.65134","8762877803.17492","9142241663.7283","9194268830.79057","9525144596.77682","10155324622.2698","10725975032.7384","11173449422.157","11126121952.0703","10742794805.0321","11035166687.0261","11334782601.5822","11713379202.2105","11620838487.7678","12322581987.1852","12699382099.6096","12977316326.2205","13711567829.4446","14429294095.7259","14790048177.698","12790962289.2209",
"Bosnia and Herzegovina","BIH","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3547490055.03456","4375227809.86134","8418700485.41838","11516166260.4963","13462524832.0927","14967959336.5379","17256008400.479","18003755312.8696","19535676750.6379","20527155682.0948","22375875894.0918","24398080940.9494","27879616879.2563","30804348336.1887","33896568431.5897","33755250863.2218","34666329181.6955","36525544921.4184","37145916404.6489","39027244947.2416","39811669318.7675","41189079136.3829","44265677750.8394","46096434289.8595","49582334292.3457","52311357772.2959","51616523418.7923",
"Belarus","BLR","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","53275662592.9477","54416393086.2388","50313469697.596","47591607541.2966","42920764985.4233","39263410437.4665","41101817429.5946","46606182102.5295","51089722656.2062","53589487606.9613","57965141850.7952","62035672870.9428","66196302880.9147","72174548287.9562","82603919631.1015","93183621908.2178","105603898919.094","117766622690.552","132303186469.252","133578417143.272","145673123596.385","156715098657.899","171037674358.344","179366145726.605","179597949624.117","171204463522.202","168421837005.779","173630155305.786","183398223823.045","189285570275.747","189772046696.127",
"Belize","BLZ","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","625100954.026396","720325610.029776","825579827.346803","898188561.611988","918822002.690912","944134647.524504","975161243.085886","1027782931.16378","1078227903.07623","1189818106.39705","1374788432.13124","1470717719.88727","1564682258.01815","1742493392.88601","1875116458.80864","1971053117.75086","2128692308.32874","2197045056.61103","2317944453.44841","2340694349.83933","2439091906.92247","2537807474.36966","2458226039.33398","2498498319.23996","2540731967.76196","2611555931.58153","2666078128.51442","2703187932.80397","2848533618.20145","2950494545.09976","2566735731.86891",
"Bermuda","BMU","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2069701819.7898","2064069231.39599","2109846380.32823","2224837649.35203","2285972658.46591","2436579276.91577","2545715055.60402","2710433578.98293","2847836726.73602","2986677006.57941","3337937504.76127","3657520974.81199","3660468836.62029","3855613626.28385","4051323524.73477","4247460210.71958","4618596477.95015","4901313626.55102","4903415338.1953","4662792839.53546","4599062134.44337","4519405326.5993","4370872662.28833","4484628779.9265","4479895049.92416","4688793778.80788","4929475866.99318","5227044136.51153","5329378596.94909","5449462884.82198","5163331530.98586",
"Bolivia","BOL","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16291396888.7512","17729339184.1256","18431940387.6071","19674406165.1928","21032404534.296","22478018915.1956","23887877510.9591","25519649912.2215","27104797638.019","27613515807.5039","28938783243.5531","30071493290.4146","31306422344.5285","32752399650.2214","35037816368.9345","37726654226.3094","40732857821.293","43736202919.4137","47328355788.2333","49290089322.2839","51922209247.3177","55765337780.2746","61452959665.4717","69841188330.1307","75554052848.6329","77543289207.737","82736157918.0374","94285208488.0407","100626843894.555","104693606216.901","96564079664.4122",
"Brazil","BRA","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","997829676500.524","1042221695198.44","1060173331912.21","1138750850581.62","1231140868861.27","1310047926509.34","1363501491200.63","1434999659066.74","1456057183573.25","1483991599739.63","1583738322704.83","1640971586326.6","1717826874441.4","1769689965653.55","1922011556195.08","2045343558484.92","2190728444722.49","2386123965616.64","2556455419655.11","2572703709807.47","2798617943636.41","2970630762099.6","2998534424980.66","3133893649534.78","3187155079572.03","3014754849735.87","2939094210373.7","3018705988834.88","3146320980859.84","3247679577278.91","3152232742596.7",
"Barbados","BRB","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2498088877.41874","2481850529.69146","2393910179.43526","2470089332.89981","2573564953.94004","2680448458.92482","2838065611.54157","3025747724.56527","3173886818.17816","3230486447.30124","3449580616.56608","3441856192.52922","3523828107.5899","3667352806.06023","3819247737.69655","4093989531.57469","4466850967.78133","4687849280.29696","4812536630.10609","4602990809.13498","4550155553.50911","4613928269.19212","4343448700.80602","4359599661.30851","4322360546.09697","4425610429.8278","4559037885.70882","4519281462.81962","4600931965.93093","4678563482.67459","3834850809.53307",
"Brunei Darussalam","BRN","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14456814065.0958","15415892287.6316","16517501924.4194","16960523110.4211","17867569963.7186","19059251493.3829","19966850512.137","20024891666.3744","20137176323.1266","21051409730.2095","22135261424.2843","23241505278.1541","24523299248.7259","25704091177.389","26529220186.5056","27461594984.134","29536870000.7498","30377197856.8618","30367382091.4862","30058959574.4164","31199547021.6826","33044207206.1251","35209872643.723","33885246844.1847","33344140243.0964","25948980972.9153","23633069098.5308","25891019749.5614","26526507870.9433","28044707686.4434","28693752586.7306",
